Title,Text,followers_count,object_posted_time,real_name,location,username 
"Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/hSTql5Zl84 #signit #wakeup #wethepe","Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/hSTql5Zl84 #signit #wakeup #wethepeople #fixit ",132,8/13/14 5:39,Loren Esprit,,spreejopoet
"Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/j4DIBMJbEx","Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/j4DIBMJbEx ",89,8/13/14 12:27,Smilez,"Augusta, Georgia",MzAquafina0523
"Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/Jx3oaWXfTq  #DontShoot #JusticeforM","Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/Jx3oaWXfTq  #DontShoot #JusticeforMikeBrown ",157,8/14/14 13:33,Stanyale,The Lou,TrueYale
"Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/zB9pQZSOVE","Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/zB9pQZSOVE ",563,8/14/14 13:45,christinaaaa,,pattonxo_
"EVERYONE SIGN THIS PETITION!!! Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/ck6J","EVERYONE SIGN THIS PETITION!!! Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/ck6JHgf1es ",183,8/14/14 14:07,West...Adam West,"Wilberforce, OH",TJ_Renaissance
"Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/4fz9JHzo7S","Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/4fz9JHzo7S ",4,8/14/14 15:13,air drummer,no.va. should secede,air_drummer
"Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/vnhvIVAmuJ","Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/vnhvIVAmuJ ",153,8/14/14 15:26,Aliki Barnstone,,AlikiBee
Sign this http://t.co/nnv4Qdn7LR petition to require ALL police to wear cameras while on duty http://t.co/hnI75hJ7E3 #ferguson,Sign this http://t.co/nnv4Qdn7LR petition to require ALL police to wear cameras while on duty http://t.co/hnI75hJ7E3 #ferguson #MikeBrown ,193,8/14/14 15:42,Aliza W.,NYC,AlizaTweets
"Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/MMWZAoTW6F","Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/MMWZAoTW6F ",70,8/14/14 15:51,Rodney Quiles,Florida,RodneyQuiles
"Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/EfXlppM7c2","Mike Brown Law. Requires all state, county, and local police to wear a camera. http://t.co/EfXlppM7c2 ",320,8/14/14 15:52,Ethan Isaacs,"Sierra Madre, California",JustEthanP
